#Release 14.4 - par P.49d (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 18 03:47:29 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_aes_map.ncd
#OUTPUT FILE:      my_aes_pad.csv
#PART TYPE:        xc5vfx70t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AD21,,,M0_0,,,,,,,,,,,,
AD22,,,M2_0,,,,,,,,,,,,
AD23,,,VCCO_0,,,0,,,,,any******,,,,
AD24,,IOBM,IO_L19P_21,UNUSED,,21,,,,,,,,,
AD25,,IOBS,IO_L18N_21,UNUSED,,21,,,,,,,,,
AD26,,IOBM,IO_L18P_21,UNUSED,,21,,,,,,,,,
AD27,,IOBS,IO_L4N_VREF_21,UNUSED,,21,,,,,,,,,
AD28,,,GND,,,,,,,,,,,,
AD29,,IOBS,IO_L15N_17,UNUSED,,17,,,,,,,,,
AD30,,IOBM,IO_L13P_17,UNUSED,,17,,,,,,,,,
AD31,,IOBM,IO_L12P_VRN_17,UNUSED,,17,,,,,,,,,
AD32,,IOBM,IO_L11P_CC_13,UNUSED,,13,,,,,,,,,
AD33,,,VCCO_17,,,17,,,,,any******,,,,
AD34,,IOBS,IO_L5N_SM4N_13,UNUSED,,13,,,,,,,,,
AE1,,IPAD,MGTRXP0_118,UNUSED,,,,,,,,,,,
AE2,,OPAD,MGTTXN0_118,UNUSED,,,,,,,,,,,
AE3,,,MGTAVTTRX_118,,,,,,,,,,,,
AE4,,,GND,,,,,,,,,,,,
AE5,,,GND,,,,,,,,,,,,
AE6,Sl_rdDBus<80>,IOB,IO_L7N_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AE7,Sl_rdDBus<48>,IOB,IO_L9P_CC_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AE8,Sl_rdDBus<20>,IOB,IO_L9P_CC_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AE9,Sl_rdDBus<38>,IOB,IO_L12N_VRP_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AE10,,,GND,,,,,,,,,,,,
AE11,Sl_rdDBus<61>,IOB,IO_L16N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AE12,Sl_rdDBus<21>,IOB,IO_L0N_CC_RS0_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE13,Sl_rdDBus<53>,IOB,IO_L0P_CC_RS1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE14,Sl_rdDBus<83>,IOB,IO_L4P_FCS_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE15,,,GND,,,,,,,,,,,,
AE16,Sl_rdDBus<81>,IOB,IO_L6N_D6_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE17,Sl_rdDBus<23>,IOB,IO_L8N_D2_FS2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE18,Sl_rdWdAddr<2>,IOB,IO_L8N_CC_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AE19,Sl_rdDBus<56>,IOB,IO_L9P_D1_FS1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE20,,,GND,,,,,,,,,,,,
AE21,Sl_rdDBus<86>,IOB,IO_L7P_D5_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE22,Sl_rdDBus<19>,IOB,IO_L3P_A21_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE23,Sl_rdDBus<119>,IOB,IO_L3N_A20_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE24,,IOBS,IO_L19N_21,UNUSED,,21,,,,,,,,,
AE25,,,GND,,,,,,,,,,,,
AE26,,IOBS,IO_L16N_21,UNUSED,,21,,,,,,,,,
AE27,,IOBM,IO_L16P_21,UNUSED,,21,,,,,,,,,
AE28,,IOBM,IO_L7P_21,UNUSED,,21,,,,,,,,,
AE29,,IOBM,IO_L15P_17,UNUSED,,17,,,,,,,,,
AE30,,,VCCO_17,,,17,,,,,any******,,,,
AE31,,IOBS,IO_L12N_VRP_17,UNUSED,,17,,,,,,,,,
AE32,,IOBS,IO_L11N_CC_13,UNUSED,,13,,,,,,,,,
AE33,,IOBS,IO_L8N_CC_SM1N_13,UNUSED,,13,,,,,,,,,
AE34,,IOBS,IO_L9N_CC_SM0N_13,UNUSED,,13,,,,,,,,,
AF1,,IPAD,MGTRXN0_118,UNUSED,,,,,,,,,,,
AF2,,,GND,,,,,,,,,,,,
AF3,,IPAD,MGTREFCLKN_118,UNUSED,,,,,,,,,,,
AF4,,IPAD,MGTREFCLKP_118,UNUSED,,,,,,,,,,,
